"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"283","Lance Lenoir Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"284","Jester Weah (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"285","River Cracraft (SF)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"286","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"287","Antonio Gandy-Golden (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"288","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"289","Kalija Lipscomb (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Gabriel Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"291","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"292","Isaiah Hodgins (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"293","James Proche (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"294","Denzel Mims (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3%"
"295","K.J. Hill (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"296","Van Jefferson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"297","John Hightower (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"298","Aaron Fuller (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"299","Donovan Peoples-Jones (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"300","Michael Pittman Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52.0%"
"301","Devin Duvernay (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"302","KJ Hamler (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"303","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.4%"
